metric,objective,cost_aware,framework,network,category,value
Energy x Cost,energy,True,Fengshui (Full),qwen3_235b_a22b_decode_kv1024_b1_seq1,decode-MoE,1.3970689730340762
Energy x Cost,energy,True,Fengshui (Full),qwen3_235b_a22b_decode_kv1024_b8_seq1,decode-MoE,16.898946708659718
Energy x Cost,energy,True,Fengshui (Full),mobilenet_v3_small_b1_seq1,cnn,0.0038188946092666135
Energy x Cost,energy,True,Fengshui (Full),mobilenet_v3_small_b8_seq1,cnn,0.026374049316057836
Energy x Cost,energy,True,Fengshui (Full),replknet31b_b1_seq1,cnn,0.1622931771358099
Energy x Cost,energy,True,Fengshui (Full),replknet31b_b8_seq1,cnn,1.1765009492634384
Energy x Cost,energy,True,SCAR-style,llama3.1_8b_prefill_s1024_b1_seq1024,prefill,43.71052909952974
Energy x Cost,energy,True,SCAR-style,llama3.1_8b_prefill_s1024_b8_seq1024,prefill,533.6425450259787
Energy x Cost,energy,True,SCAR-style,llama3.1_8b_decode_kv1024_b1_seq1,decode,2.194571456820189
Energy x Cost,energy,True,SCAR-style,llama3.1_8b_decode_kv1024_b8_seq1,decode,8.070873399395511
Energy x Cost,energy,True,SCAR-style,llama3.1_70b_prefill_s1024_b1_seq1024,prefill,176.64184037108012
Energy x Cost,energy,True,SCAR-style,llama3.1_70b_prefill_s1024_b8_seq1024,prefill,1849.3539670022965
Energy x Cost,energy,True,SCAR-style,llama3.1_70b_decode_kv1024_b1_seq1,decode,8.622269610744507
Energy x Cost,energy,True,SCAR-style,llama3.1_70b_decode_kv1024_b8_seq1,decode,27.705784444047183
Energy x Cost,energy,True,SCAR-style,qwen3_30b_a3b_prefill_s1024_b1_seq1024,prefill-MoE,6.341772167618127
Energy x Cost,energy,True,SCAR-style,qwen3_30b_a3b_prefill_s1024_b8_seq1024,prefill-MoE,150.29043451421498
Energy x Cost,energy,True,SCAR-style,qwen3_30b_a3b_decode_kv1024_b1_seq1,decode-MoE,0.6048757663164328
Energy x Cost,energy,True,SCAR-style,qwen3_30b_a3b_decode_kv1024_b8_seq1,decode-MoE,15.702007995142734
Energy x Cost,energy,True,SCAR-style,qwen3_235b_a22b_prefill_s1024_b1_seq1024,prefill-MoE,21.826266469971706
Energy x Cost,energy,True,SCAR-style,qwen3_235b_a22b_prefill_s1024_b8_seq1024,prefill-MoE,398.8321858472675
Energy x Cost,energy,True,SCAR-style,qwen3_235b_a22b_decode_kv1024_b1_seq1,decode-MoE,2.28226517017384
Energy x Cost,energy,True,SCAR-style,qwen3_235b_a22b_decode_kv1024_b8_seq1,decode-MoE,55.79968624395685
Energy x Cost,energy,True,SCAR-style,mobilenet_v3_small_b1_seq1,cnn,0.009519748251248118
Energy x Cost,energy,True,SCAR-style,mobilenet_v3_small_b8_seq1,cnn,0.046501767207181466
Energy x Cost,energy,True,SCAR-style,replknet31b_b1_seq1,cnn,0.33393823317294713
Energy x Cost,energy,True,SCAR-style,replknet31b_b8_seq1,cnn,2.4835234674122915
Energy x Cost,energy,True,Gemini-style,llama3.1_8b_prefill_s1024_b1_seq1024,prefill,45.801300305469
Energy x Cost,energy,True,Gemini-style,llama3.1_8b_prefill_s1024_b8_seq1024,prefill,610.1954659647787
Energy x Cost,energy,True,Gemini-style,llama3.1_8b_decode_kv1024_b1_seq1,decode,2.286594587526098
Energy x Cost,energy,True,Gemini-style,llama3.1_8b_decode_kv1024_b8_seq1,decode,8.786094304863342
Energy x Cost,energy,True,Gemini-style,llama3.1_70b_prefill_s1024_b1_seq1024,prefill,169.7491912056071
Energy x Cost,energy,True,Gemini-style,llama3.1_70b_prefill_s1024_b8_seq1024,prefill,2245.8538039063155
Energy x Cost,energy,True,Gemini-style,llama3.1_70b_decode_kv1024_b1_seq1,decode,8.98500031579153
Energy x Cost,energy,True,Gemini-style,llama3.1_70b_decode_kv1024_b8_seq1,decode,30.53697358559608
Energy x Cost,energy,True,Gemini-style,qwen3_30b_a3b_prefill_s1024_b1_seq1024,prefill-MoE,6.16859947715918
Energy x Cost,energy,True,Gemini-style,qwen3_30b_a3b_prefill_s1024_b8_seq1024,prefill-MoE,155.6196700147391
Energy x Cost,energy,True,Gemini-style,qwen3_30b_a3b_decode_kv1024_b1_seq1,decode-MoE,0.6274161437631487
Energy x Cost,energy,True,Gemini-style,qwen3_30b_a3b_decode_kv1024_b8_seq1,decode-MoE,17.546528390564372
Energy x Cost,energy,True,Gemini-style,qwen3_235b_a22b_prefill_s1024_b1_seq1024,prefill-MoE,21.018201882343664
Energy x Cost,energy,True,Gemini-style,qwen3_235b_a22b_prefill_s1024_b8_seq1024,prefill-MoE,464.8174518418183
